12:00|noontime|"They sat in the fern shade for another couple of hours and watched the tide come in. The sun fell through midafternoon—even then it was as high in the sky as any noontime sun could be at Woodcarver’s. In some ways, the quality of the light and the motion of the sun were the strangest things about the scene. The sun was so high, and came down so straight, with none of the long sliding glide of afternoon in the arctic. He had almost forgotten what it was like in the land of Short Twilight."|"A Fire Upon the Deep"|"Vernor Vinge"
00:00|midnight|"Summer took gentle leave of the land around Hidden Island. There was some rain, and no more brush fires. There would even be a harvest, war and drought notwithstanding. Each dayaround the sun hid deeper behind the northern hills, a time of twilight that broadened with the weeks till true night held at midnight. And there were stars."|"A Fire Upon the Deep"|"Vernor Vinge"
"ap 01:00"|one|"Back home she had loved the night sky; at one glance she could see the other stars of Sjandra Kei, sometimes the other worlds. The places of her home had been in her sky. For a moment the evening chill seemed part of a winter that would never go away. Lynne and her folks and Sjandra Kei. Her whole life till three years ago. It was all gone now. Don’t think on it. Somewhere out there was what was left of Aniara fleet, and what was left of her people. Kjet Svensndot. Tirolle and Glimfrelle. She had only known them for a few hours, but they were of Sjandra Kei—and they had saved more than they would ever know. They would still live. SjK Commercial Security had some ramscoops in its fleet. They could find a world, not here, but nearer the battle site."|"A Fire Upon the Deep"|"Vernor Vinge"
00:00|midnight|"Olsndot laughed, still looking at the underside of the cargo shell. “Local midnight.”"|"A Fire Upon the Deep"|"Vernor Vinge"
"ap 11:45"|11:45|"Distribution:

Where Are They Now Interest Group

Homo Sapiens Interest Group

Motley Hatch Administration Group

Transceiver Relay03 at Relay

Transceiver Windsong at Debley Down

Transceiver Not-for-Long at Shortstop
Date: 11:45:20 Docks Time, 01/09 of Org year 52089
Text of message:"|"A Fire Upon the Deep"|"Vernor Vinge"
00:00|midnight|"They ended up in The Wandering Company just after Docks’ midnight. This was not Organization territory, but it was one of Ravna’s favorite places, a private dive that attracted traders from the Top to the Bottom. She wondered how the decor would appeal to Pham Nuwen. The place was modeled as a meeting lodge on some world of the Slow Zone. A three-meter model ramscoop hung in the air over the main service floor. Blue-green drive fields glowed from the ship’s every corner and flange, and spread faintly among patrons sitting below."|"A Fire Upon the Deep"|"Vernor Vinge"
"> 00:00"|"past midnight"|"They stayed at The Wandering Company until well past midnight. Business picked up at the circadian peak of some of the new arrivals. Floor and table shows were raucous all around. Pham’s eyes flickered this way and that, taking it all in. But above all he seemed fascinated by Blueshell and Greenstalk. The two were starkly nonhuman, in some ways even strange as aliens go. Skroderiders were one of the very few races that had achieved long-term stability in the Beyond. Speciation had long ago occurred, varieties heading outward or becoming extinct. And still there were some who matched their ancient skrodes, a unique balance of outlook and machine interface that was more than a billion years old. But Blueshell and Greenstalk were also traders with much of the outlook that Pham Nuwen had known in the Slowness. And though Pham acted as ignorant as ever, there was new diplomacy in him. Or maybe the awesomeness of the Beyond was finally getting through his thick skull. He couldn’t have asked for better drinking buddies. As a race, the Skroderiders preferred lazy reminiscence to almost any activity. Once delivered of their critical message, the two were quite content to talk of their life in the Beyond, to explain things in whatever detail the barbarian could wish. The razor-jawed certificants stayed well lost."|"A Fire Upon the Deep"|"Vernor Vinge"
"ap > 02:30"|"after 02:30"|"It was after 02:30 when they left The Wandering Company. The sun would be rising across the bow horizon in less than five hours. The two Skroderiders came outside to see them off. Blueshell had switched back to Samnorsk to regale Ravna with a story of his last visit to Sjandra Kei—and to remind her to ask about the refugee ship."|"A Fire Upon the Deep"|"Vernor Vinge"
"ap 07:21"|07:21|"Follow-ups to: Windsong Expansion Interest Group
Date: 07:21:21 Docks Time, 36/09 of Org year 52089
Text of message:"|"A Fire Upon the Deep"|"Vernor Vinge"
00:00|00:00|"The events of the last seven hours compel us to change this policy. Those reading this item already know about the incident; most of you are the victims of it. Beginning at [00:00:27 Docks Time], Vrinimi Org began taking transceivers off-line, an unscheduled outage. R01 went out at 00:00:27, R02 at 02:50:32, R03 and R04 at 03:12:01. Vrinimi stated that a Transcendent customer was urgently requesting bandwidth. (R00 had been previously dedicated to that Power’s use.) The customer required use of both up- and down-link bandwidth. By the Org’s own admission, the unscheduled usage exceeded sixty percent of their entire capacity. Note that the excesses of the preceding five hundred hours—excesses which caused entirely justified complaint—were never more than five percent of Org capacity."|"A Fire Upon the Deep"|"Vernor Vinge"
