20:35|20:35|"Rendered into HTML by Steve Thomas.
Last updated Saturday, November 17, 2012 at 20:35.
eBooks@Adelaide

The University of Adelaide Library

University of Adelaide

South Australia 5005"|"Mrs. Dalloway"|"Virginia Woolf"
"ap ~ 01:00"|"round one"|"For having lived in Westminster — how many years now? over twenty — one feels even in the midst of the traffic, or
waking at night, Clarissa was positive, a particular hush, or solemnity; an indescribable pause; a suspense (but that
might be her heart, affected, they said, by influenza) before Big Ben strikes. There! Out it boomed. First a warning,
musical; then the hour, irrevocable. The leaden circles dissolved in the air. Such fools we are, she thought, crossing
Victoria Street. For Heaven only knows why one loves it so, how one sees it so, making it up, building it round one,
tumbling it, creating it every moment afresh; but the veriest frumps, the most dejected of miseries sitting on
doorsteps (drink their downfall) do the same; can’t be dealt with, she felt positive, by Acts of Parliament for that
very reason: they love life. In people’s eyes, in the swing, tramp, and trudge; in the bellow and the uproar; the
carriages, motor cars, omnibuses, vans, sandwich men shuffling and swinging; brass bands; barrel organs; in the triumph
and the jingle and the strange high singing of some aeroplane overhead was what she loved; life; London; this moment of
June."|"Mrs. Dalloway"|"Virginia Woolf"
"ap 11:00"|eleven|"“Kreemo,” murmured Mrs. Bletchley, like a sleep-walker. With his hat held out perfectly still in his hand, Mr.
Bowley gazed straight up. All down the Mall people were standing and looking up into the sky. As they looked the whole
world became perfectly silent, and a flight of gulls crossed the sky, first one gull leading, then another, and in this
extraordinary silence and peace, in this pallor, in this purity, bells struck eleven times, the sound fading up there
among the gulls."|"Mrs. Dalloway"|"Virginia Woolf"
00:00|midnight|"There was nobody. Her words faded. So a rocket fades. Its sparks, having grazed their way into the night, surrender
to it, dark descends, pours over the outlines of houses and towers; bleak hillsides soften and fall in. But though they
are gone, the night is full of them; robbed of colour, blank of windows, they exist more ponderously, give out what the
frank daylight fails to transmit — the trouble and suspense of things conglomerated there in the darkness; huddled
together in the darkness; reft of the relief which dawn brings when, washing the walls white and grey, spotting each
window-pane, lifting the mist from the fields, showing the red-brown cows peacefully grazing, all is once more decked
out to the eye; exists again. I am alone; I am alone! she cried, by the fountain in Regent’s Park (staring at the
Indian and his cross), as perhaps at midnight, when all boundaries are lost, the country reverts to its ancient shape,
as the Romans saw it, lying cloudy, when they landed, and the hills had no names and rivers wound they knew not where —
such was her darkness; when suddenly, as if a shelf were shot forth and she stood on it, she said how she was his wife,
married years ago in Milan, his wife, and would never, never tell that he was mad! Turning, the shelf fell; down, down
she dropped. For he was gone, she thought — gone, as he threatened, to kill himself — to throw himself under a cart!
But no; there he was; still sitting alone on the seat, in his shabby overcoat, his legs crossed, staring, talking
aloud."|"Mrs. Dalloway"|"Virginia Woolf"
12:00|midday|"Like a nun withdrawing, or a child exploring a tower, she went upstairs, paused at the window, came to the bathroom.
There was the green linoleum and a tap dripping. There was an emptiness about the heart of life; an attic room. Women
must put off their rich apparel. At midday they must disrobe. She pierced the pincushion and laid her feathered yellow
hat on the bed. The sheets were clean, tight stretched in a broad white band from side to side. Narrower and narrower
would her bed be. The candle was half burnt down and she had read deep in Baron Marbot’s Memoirs. She had read late at
night of the retreat from Moscow. For the House sat so long that Richard insisted, after her illness, that she must
sleep undisturbed. And really she preferred to read of the retreat from Moscow. He knew it. So the room was an attic;
the bed narrow; and lying there reading, for she slept badly, she could not dispel a virginity preserved through
childbirth which clung to her like a sheet. Lovely in girlhood, suddenly there came a moment — for example on the river
beneath the woods at Clieveden — when, through some contraction of this cold spirit, she had failed him. And then at
Constantinople, and again and again. She could see what she lacked. It was not beauty; it was not mind. It was
something central which permeated; something warm which broke up surfaces and rippled the cold contact of man and
woman, or of women together. For THAT she could dimly perceive. She resented it, had a scruple picked up Heaven knows
where, or, as she felt, sent by Nature (who is invariably wise); yet she could not resist sometimes yielding to the
charm of a woman, not a girl, of a woman confessing, as to her they often did, some scrape, some folly. And whether it
was pity, or their beauty, or that she was older, or some accident — like a faint scent, or a violin next door (so
strange is the power of sounds at certain moments), she did undoubtedly then feel what men felt. Only for a moment; but
it was enough. It was a sudden revelation, a tinge like a blush which one tried to check and then, as it spread, one
yielded to its expansion, and rushed to the farthest verge and there quivered and felt the world come closer, swollen
with some astonishing significance, some pressure of rapture, which split its thin skin and gushed and poured with an
extraordinary alleviation over the cracks and sores! Then, for that moment, she had seen an illumination; a match
burning in a crocus; an inner meaning almost expressed. But the close withdrew; the hard softened. It was over — the
moment. Against such moments (with women too) there contrasted (as she laid her hat down) the bed and Baron Marbot and
the candle half-burnt. Lying awake, the floor creaked; the lit house was suddenly darkened, and if she raised her head
she could just hear the click of the handle released as gently as possible by Richard, who slipped upstairs in his
socks and then, as often as not, dropped his hot-water bottle and swore! How she laughed!"|"Mrs. Dalloway"|"Virginia Woolf"
"ap 10:00"|ten|"“And how,” she said, turning the crystal dolphin to stand straight, “how did you enjoy the play last night?” “Oh,
they had to go before the end!” she said. “They had to be back at ten!” she said. “So they don’t know what happened,”
she said. “That does seem hard luck,” she said (for her servants stayed later, if they asked her). “That does seem
rather a shame,” she said, taking the old bald-looking cushion in the middle of the sofa and putting it in Lucy’s arms,
and giving her a little push, and crying:"|"Mrs. Dalloway"|"Virginia Woolf"
"ap 11:00"|"eleven o’clock"|"“Who can — what can,” asked Mrs. Dalloway (thinking it was outrageous to be interrupted at eleven o’clock on the
morning of the day she was giving a party), hearing a step on the stairs. She heard a hand upon the door. She made to
hide her dress, like a virgin protecting chastity, respecting privacy. Now the brass knob slipped. Now the door opened,
and in came — for a single second she could not remember what he was called! so surprised she was to see him, so glad,
so shy, so utterly taken aback to have Peter Walsh come to her unexpectedly in the morning! (She had not read his
letter.)"|"Mrs. Dalloway"|"Virginia Woolf"
"ap 11:30"|"half-past eleven"|"The way she said “Here is my Elizabeth!”— that annoyed him. Why not “Here’s Elizabeth” simply? It was insincere. And
Elizabeth didn’t like it either. (Still the last tremors of the great booming voice shook the air round him; the
half-hour; still early; only half-past eleven still.) For he understood young people; he liked them. There was always
something cold in Clarissa, he thought. She had always, even as a girl, a sort of timidity, which in middle age becomes
conventionality, and then it’s all up, it’s all up, he thought, looking rather drearily into the glassy depths, and
wondering whether by calling at that hour he had annoyed her; overcome with shame suddenly at having been a fool; wept;
been emotional; told her everything, as usual, as usual."|"Mrs. Dalloway"|"Virginia Woolf"
"ap 11:30"|"half-past eleven"|"Ah, said St. Margaret’s, like a hostess who comes into her drawing-room on the very stroke of the hour and finds her
guests there already. I am not late. No, it is precisely half-past eleven, she says. Yet, though she is perfectly
right, her voice, being the voice of the hostess, is reluctant to inflict its individuality. Some grief for the past
holds it back; some concern for the present. It is half-past eleven, she says, and the sound of St. Margaret’s glides
into the recesses of the heart and buries itself in ring after ring of sound, like something alive which wants to
confide itself, to disperse itself, to be, with a tremor of delight, at rest — like Clarissa herself, thought Peter
Walsh, coming down the stairs on the stroke of the hour in white. It is Clarissa herself, he thought, with a deep
emotion, and an extraordinarily clear, yet puzzling, recollection of her, as if this bell had come into the room years
ago, where they sat at some moment of great intimacy, and had gone from one to the other and had left, like a bee with
honey, laden with the moment. But what room? What moment? And why had he been so profoundly happy when the clock was
striking? Then, as the sound of St. Margaret’s languished, he thought, She has been ill, and the sound expressed
languor and suffering. It was her heart, he remembered; and the sudden loudness of the final stroke tolled for death
that surprised in the midst of life, Clarissa falling where she stood, in her drawing-room. No! No! he cried. She is
not dead! I am not old, he cried, and marched up Whitehall, as if there rolled down to him, vigorous, unending, his
future."|"Mrs. Dalloway"|"Virginia Woolf"
"ap 11:30"|"half-past eleven"|"And just because nobody yet knew he was in London, except Clarissa, and the earth, after the voyage, still seemed an
island to him, the strangeness of standing alone, alive, unknown, at half-past eleven in Trafalgar Square overcame him.
What is it? Where am I? And why, after all, does one do it? he thought, the divorce seeming all moonshine. And down his
mind went flat as a marsh, and three great emotions bowled over him; understanding; a vast philanthropy; and finally,
as if the result of the others, an irrepressible, exquisite delight; as if inside his brain by another hand strings
were pulled, shutters moved, and he, having nothing to do with it, yet stood at the opening of endless avenues, down
which if he chose he might wander. He had not felt so young for years."|"Mrs. Dalloway"|"Virginia Woolf"
