"~ 16:30"|Vespers|"Brother Blacktooth passed Brother Singing Cow in the corridor on his way to Vespers. The rule of silence was in force, and neither spoke. Singing Cow grinned. Blacktooth scowled. Both of his fellow runaways from the wheat plantations knew why he had gone to see Dom Jarad, and both lacked sympathy. Both thought his job a cushy one. Singing Cow worked in the new printing shop. Wren worked in the kitchen as Brother Second Cook."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
02:30|Matins|"Blacktooth became wildly anxious. He sought permission to speak to Dom Jarad before the abbot’s departure, but permission was denied. In near panic, he found Prior Olshuen before dawn in the cloister on his way to Matins, and he plucked at the sleeve of the prior’s robe."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
02:30|Matins|"“Now what was that about leaving the Order? Never mind, we’re holding up Matins. Come by my office in a day or two, if you like. Or I’ll send for you. Now calm down. He won’t be gone for long.”"|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
12:00|Sext|"Blacktooth, who loved the cryptic “Sayings of Saint Leibowitz,” was spared answering as the bell rang the hour of Sext, marking the resumption of the rule of silence, which the abbot had suspended for the morning of his departure. The monks on the parapet wall began to leave."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
02:30|Matins|"“Deo gratias,” came a muffled voice from the corridor. It was Brother Jonan, arousing everyone for Matins. The footsteps receded."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
"~ 09:00"|Terce|"Now the sacred number of seven will be fulfilled by us if we perform the Offices of our service at the time of the Morning Office, of Prime, of Terce, of Sext, of None, of Vespers and of Compline, since it was of these day Hours that he said, “Seven times in the day I have rendered praise to You.” For as to the Night Office the same Prophet says, “In the middle of the night I arose to glorify you.” Let us therefore bring our tribute of praise to our Creator “for the judgments of His Justice” at these times…and in the night let us arise to glorify Him."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
12:00|Sext|"Now the sacred number of seven will be fulfilled by us if we perform the Offices of our service at the time of the Morning Office, of Prime, of Terce, of Sext, of None, of Vespers and of Compline, since it was of these day Hours that he said, “Seven times in the day I have rendered praise to You.” For as to the Night Office the same Prophet says, “In the middle of the night I arose to glorify you.” Let us therefore bring our tribute of praise to our Creator “for the judgments of His Justice” at these times…and in the night let us arise to glorify Him."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
"~ 16:30"|Vespers|"Now the sacred number of seven will be fulfilled by us if we perform the Offices of our service at the time of the Morning Office, of Prime, of Terce, of Sext, of None, of Vespers and of Compline, since it was of these day Hours that he said, “Seven times in the day I have rendered praise to You.” For as to the Night Office the same Prophet says, “In the middle of the night I arose to glorify you.” Let us therefore bring our tribute of praise to our Creator “for the judgments of His Justice” at these times…and in the night let us arise to glorify Him."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
"~ 18:00"|Compline|"Now the sacred number of seven will be fulfilled by us if we perform the Offices of our service at the time of the Morning Office, of Prime, of Terce, of Sext, of None, of Vespers and of Compline, since it was of these day Hours that he said, “Seven times in the day I have rendered praise to You.” For as to the Night Office the same Prophet says, “In the middle of the night I arose to glorify you.” Let us therefore bring our tribute of praise to our Creator “for the judgments of His Justice” at these times…and in the night let us arise to glorify Him."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
02:30|"Night Office"|"Now the sacred number of seven will be fulfilled by us if we perform the Offices of our service at the time of the Morning Office, of Prime, of Terce, of Sext, of None, of Vespers and of Compline, since it was of these day Hours that he said, “Seven times in the day I have rendered praise to You.” For as to the Night Office the same Prophet says, “In the middle of the night I arose to glorify you.” Let us therefore bring our tribute of praise to our Creator “for the judgments of His Justice” at these times…and in the night let us arise to glorify Him."|"Saint Leibowitz and the Wild Horse Woman"|"Walter M. Miller Jr_"
