"~ 12:00"|"about noon"|"IT WAS STILL EARLY when I left Piney’s, about noon. I drove up toward Watts thinking that I should have been at work instead of in the company of naked women. Whorehouses and prostitutes belonged in my past. I had a job and a family to worry about. And as much as I missed him, Mouse, Raymond Alexander, was dead."|"Devil in a Blue Dress"|"Walter Mosley"
"ap 01:00"|"one o’clock"|"That February, 1964, Medgar was sixty-one and still going strong. He might have been the richest black man in Los Angeles, but he still wore homemade suits and shined his own shoes every morning. The old market had become the school, and the storefront was now the church business office.
I got to the business office a few minutes shy of one o’clock.
The woman sitting behind the long desk at the back of the room was over sixty. She wore glasses with white frames and a green blouse with a pink sweater draped over her shoulders. Six of eight fingers had gold rings on them and, when she opened her mouth, you could see that three of her teeth were edged in gold. She was buxom but otherwise slender. She seemed unhappy to see me, but maybe that was her reaction to anyone coming in the door."|"Devil in a Blue Dress"|"Walter Mosley"
"ap 07:54"|"Six of eight"|"That February, 1964, Medgar was sixty-one and still going strong. He might have been the richest black man in Los Angeles, but he still wore homemade suits and shined his own shoes every morning. The old market had become the school, and the storefront was now the church business office.
I got to the business office a few minutes shy of one o’clock.
The woman sitting behind the long desk at the back of the room was over sixty. She wore glasses with white frames and a green blouse with a pink sweater draped over her shoulders. Six of eight fingers had gold rings on them and, when she opened her mouth, you could see that three of her teeth were edged in gold. She was buxom but otherwise slender. She seemed unhappy to see me, but maybe that was her reaction to anyone coming in the door."|"Devil in a Blue Dress"|"Walter Mosley"
"ap 07:54"|"Six of eight"|"The woman sitting behind the long desk at the back of the room was over sixty. She wore glasses with white frames and a green blouse with a pink sweater draped over her shoulders. Six of eight fingers had gold rings on them and, when she opened her mouth, you could see that three of her teeth were edged in gold. She was buxom but otherwise slender. She seemed unhappy to see me, but maybe that was her reaction to anyone coming in the door."|"Devil in a Blue Dress"|"Walter Mosley"
"ap < 09:00"|"a little before nine o’clock"|"SATURDAY THE KIDS and I went to the tar pits and the art museum. I found a book on ancient sailboats that Jesus and I read that night. On Sunday we went to the marina, where Jesus pointed out all kinds of boats to Feather and me.
THE CALL CAME a little before nine o’clock Sunday night.
“Mr. Rawlins?” a young woman’s voice asked."|"Devil in a Blue Dress"|"Walter Mosley"
08:00|"Eight o’clock in the morning"|"“Yes sir, I do,” I said. “Eight o’clock in the morning, workin’ man’s time. Time to get up and out of the bed. Time to go out and earn that daily bread.”"|"Devil in a Blue Dress"|"Walter Mosley"
"ap ~ 05:00"|"ABOUT FIVE"|"IT WAS ABOUT FIVE when I got back home. The phone was ringing when I got to the front door, but whoever it was, they’d hung up before I got to the receiver. Feather and Jesus were in the backyard. I sat in my reading chair thinking about the last week."|"Devil in a Blue Dress"|"Walter Mosley"
"ap 09:15"|nine-fifteen|"I ENTERED THE DEEP LOT on 101st Street at nine-fifteen the next morning. Mrs. Boughman was sweeping the ground with a straw broom. I hadn’t seen anyone sweep bare earth since I’d left the South. It wasn’t a pleasant memory."|"Devil in a Blue Dress"|"Walter Mosley"
"ap > 07:00"|"after seven"|"“Talk to Joppy about me and then, if you want to try it out, come to my office any time after seven tonight.”"|"Devil in a Blue Dress"|"Walter Mosley"
"ap 08:30"|eight-thirty|"“You’re supposed to meet him at seven? It’s eight-thirty now. He’s probably gone.”"|"Devil in a Blue Dress"|"Walter Mosley"
