"ap 09:00"|"nine o’clock"|"As often happens in disputes among high personages, the brunt fell on a subordinate. The Queen demanded the dismissal of Sarah Churchill from Anne’s household. Anne refused with all the obstinate strength of her nature. The talk became an altercation. The courtiers drew back distressed. The two sisters parted in the anger of a mortal estrangement. The next morning at nine o’clock Marlborough, discharging his functions as Gentleman of the Bedchamber, handed the King his shirt, and William preserved his usual impassivity. Two hours later the Earl of Nottingham, Secretary of State, delivered to Marlborough a written order to sell at once all the offices he held, civil and military, and consider himself as from that date dismissed from the Army and all public employment and forbidden the Court. No reasons were given officially for this important stroke. Marlborough took his dismissal with unconcern. His chief associates, the leading counsellors of the King, were offended. Shrewsbury let his disapproval be known; Godolphin threatened to retire from the Government. Admiral Russell, now Commander-in-Chief of the Navy, went so far as to reproach King William to his face with having shown ingratitude to the man who had “set the crown upon his head.” The Queen now forbade Sarah to come to Court, and Anne retorted by quitting it herself. She left her apartments in the Cockpit at Whitehall and retired to Syon House, offered her by the Duke of Somerset. No pressure would induce Anne to part with her cherished friend, and in these fires of adversity and almost persecution links were forged upon which the destinies of England were presently to hang."|"The Age of Revolution"|"Winston S. Churchill"
12:00|noon|"On land the campaign of 1692 unrolled in the Spanish Netherlands, which we now know as Belgium. It opened with a brilliant French success. Namur fell to the French armies. But worse was to follow. In August William marched by night with his whole army to attack Marshal Luxembourg. The French were surprised near Steinkirk in the early morning. Their advanced troops were overwhelmed and routed, and for an hour confusion reigned in their camp. But Luxembourg was equal to the emergency and managed to draw out an ordered line of battle. The British infantry formed the forefront of the Allied attack. Eight splendid regiments, under General Mackay, charged and broke the Swiss in fighting as fierce as had been seen in Europe in living memory. Luxembourg now launched the Household troops of France upon the British division, already strained by its exertions, and after a furious struggle, fought mostly with cold steel, beat it back. Meanwhile from all sides the French advanced and their reinforcements began to reach the field. Count Solms, the Dutch officer and William’s relation, who had replaced Marlborough in command of the British contingent, had already earned the cordial dislike of its officers and men. With the remark, “Now we shall see what the bulldogs can do!” he refused to send Mackay the help for which he begged. The British lost two of their best generals and half their numbers killed and wounded, and would not have escaped but for the action of a subordinate Dutch general, Overkirk, afterwards famous in Marlborough’s campaigns. William, who was unable to control the battle, shed bitter tears as he watched the slaughter, and exclaimed, “Oh, my poor English!” By noon the whole of the Allied army was in retreat, and although the losses of seven or eight thousand men on either side were equal the French proclaimed their victory throughout Europe."|"The Age of Revolution"|"Winston S. Churchill"
"~ 17:30"|"about half-past five in the afternoon"|"Meanwhile Eugene fell back before Tallard’s superior strength and manœuvred so as to join hands with Marlborough. The two armies, French and Bavarian, now united, recrossed the Danube, and Tallard conceived himself able to force the Allies into a disastrous retreat. Marlborough persuaded the Margrave, whose counsels were obstructive, to occupy himself with the siege of Ingolstadt, and marched suddenly to join Eugene. The twin captains—“one soul in two bodies” as they were described—fell upon the French and Bavarian army at Höchstädt, on the Danube, early in the morning of August 13. The French were somewhat more numerous, and had the advantage of a far more powerful artillery and of a strong position protected by the marshy streams of the Nebel. The battle was fought with the greatest fury on both sides. Eugene commanded the right and Marlborough the left and centre. The English attack upon the village of Blindheim—or Blenheim, as it has been called in history—was repulsed, and for several hours the issue hung in the balance; but Marlborough about half-past five in the afternoon, after a series of intricate manœuvres, crossed the Nebel and concentrated an overwhelming force of cavalry, supported by infantry and guns, against the French centre, which had gradually been denuded to withstand the attacks on either wing. At the head of eighty squadrons he broke the centre, routed the French cavalry, drove many thousands to death in the Danube, cut to pieces the remaining squares of French infantry, surrounded the great mass of French troops crowded into the village of Blenheim, and, as dusk fell on this memorable day, was able to write his famous letter to his wife: “I have not time to say more, but to beg you will give my duty to the Queen, and let her know her army has had a glorious victory. Monsieur Tallard and the two other Generals are in my coach and I am following the rest.”"|"The Age of Revolution"|"Winston S. Churchill"
"~ 12:00"|"about noon"|"At dawn on May 23 the two armies were in presence near the village of Ramillies. Marlborough, having deployed, about noon began a heavy but feigned attack upon the French right with the British troops. Availing himself of the undulations of the ground, he hurled the whole mass of the Dutch, British, and Danish cavalry, over 25,000 strong, upon the French horse between the villages of Taviers and Ramillies. Here stood the finest cavalry of France, including the famous Household troops. Casting aside his veil of secrecy and manœuvre, Marlborough exclaimed, “I have five horses to two.” Actually he had first four to three and finally five to three. But it was enough. After furious fighting, in which forty thousand horsemen were engaged, he broke the French line, drove their right from the field, and compromised their centre. Forgetting his duty as Commander-in-Chief, he charged into the cavalry battle, sword in hand. He was unhorsed and ridden over by the enemy. His equerry, Colonel Bingfield, while helping him to mount a second charger, had his head carried off by a cannonball which passed close to Marlborough’s leg as he threw it over the saddle. But he soon resumed his full control of the tremendous event. His main infantry attack now broke upon the village of Ramillies, while his victorious cavalry, forming at right angles to the original front, swept along the whole rear of the French line. All the Allied troops now advanced, and the French army fled from the field in utter ruin. In this masterpiece of war, fought between armies almost exactly equal in strength and quality, the military genius of the English General, with a loss of less than five thousand men, destroyed and defeated his opponents with great slaughter and thousands of captives. Night shielded the fugitives, but less than a quarter escaped, and all their cannon were abandoned on the field."|"The Age of Revolution"|"Winston S. Churchill"
"ap 10:30"|"half-past ten"|"For the only time in the Duke’s career he bent and bowed under the convergent strains at home and in the field. Eugene, arriving with only a cavalry escort, found him near Brussels in the deepest depression. He was prostrated by fever and so ill that he had to be bled. For a few hours he seemed unable to recover from the strategic injury of the loss of the fruits of Ramillies, the Ghent and Bruges waterways which were the railways of those times. Here Eugene sustained his comrade. Marlborough rose from his sick-bed, mounted his horse, and the Army was set in motion. By a tremendous march they reached Lessines, on the Dyle. At dawn on July 11 they set out towards the fortress and bridgehead of Oudenarde, on the Scheldt, which Vendôme intended to seize. The French had not contemplated the possibility of a battle, and their great army was crossing the river in a leisurely manner at Gavre. By half-past ten General Cadogan, with the English vanguard, had reached the high ground north of Oudenarde. Including the bridges of the fortress, nine bridges in all were prepared. Behind Cadogan the whole Army, eighty thousand strong, came on in a state of extraordinary wrath and enthusiasm. Goslinga, the Dutch deputy, records, “It was not a march, but a run.” The soldiers hurled all the officers’ baggage-wagons from the road in their eagerness to engage. The Army had marched fifty miles in sixty-five hours before they reached the bridges of the Scheldt. Cadogan meanwhile crossed and attacked the French detachments and flank guards."|"The Age of Revolution"|"Winston S. Churchill"
"ap 05:00"|"five o’clock"|"At length tattoo beat and darkness fell. Orders came to strike tents and stand to arms. Soon staff officers arrived to guide the four columns, and in less than half an hour the whole army was on the march to the left. All through the moonlit night they marched eastward. They traversed those broad undulations between the Vimy Ridge and Arras which two centuries later were to be dyed with British and Canadian blood. The march was pressed with severity; only the briefest halts were allowed. But a sense of excitement filled the troops. It was not after all to be a bloody battle. The “Old Corporal” was up to something of his own. Before five o’clock on the morning of the 5 they reached the Scarpe near Vitry. Here the Army found a series of pontoon bridges already laid, and as the light grew they saw the long columns of their artillery now marching with them."|"The Age of Revolution"|"Winston S. Churchill"
03:00|"3 AM"|"At daybreak Marlborough, riding in the van at the head of fifty squadrons, met a horseman who galloped up from Cadogan. He bore the news that Cadogan and the Prussian general Hompesch, with twenty-two battalions and twenty squadrons, had crossed the causeway at Arleux at 3 AM and were in actual possession of the enemy’s lines. Marlborough now sent his aides-de-camp and staff officers down the whole length of the marching columns with orders to explain to the officers and soldiers of every regiment what he was doing and what had happened, and to tell them that all now depended upon their marching qualities. “My Lord Duke wishes the infantry to step out.” As the light broadened and the day advanced the troops could see upon their right, across the marshes and streams of the Sensée, that the French were moving parallel to them within half cannon-shot. But they also saw that the head of the French horse was only abreast of the Allied foot. During August 5 the bulk of the Allied army had crossed the Sensée and was drawing up inside the enemy’s lines. Thousands of exhausted soldiers had fallen by the way, and large numbers died in the passion of their effort."|"The Age of Revolution"|"Winston S. Churchill"
"ap 07:30"|"half-past seven"|"The Council sat far into the night. Vigorous measures were taken to ensure the Hanoverian succession. Messengers were dispatched in all directions to rally to their duty every functionary and officer throughout the land. The Fleet was mobilised under the Whig Earl of Berkeley and ordered to patrol the Channel and watch the French ports. Ten battalions were recalled from Flanders. The garrisons were put under arms and the train-bands warned. The Dutch were reminded of their treaty obligations. Everything was prepared to secure the accession of the Elector of Hanover as George I. These orders bore the signatures not only of Shrewsbury, Somerset, and Argyll, but of Bolingbroke and his Tory colleagues. They had no other choice. All preparations were made with heralds and Household troops to proclaim King George. When Queen Anne breathed her last at half-past seven on August 1 it was certain that there would be no Popery, no disputed succession, no French bayonets, no civil war."|"The Age of Revolution"|"Winston S. Churchill"
"ap 01:50"|150|"The Government took alarm, and the process of suppressing these minor companies began. The South Sea Company was only too anxious to exterminate its rivals, but the pricking of the minor bubbles quickened and precipitated a slump. An orgy of selling began, and by October the South Sea stock stood at 150. Thousands were ruined. The porters and ladies’ maids who had bought carriages and fineries found themselves reduced to their former station. Clergy, bishops, poets, and gentry found their life savings vanish overnight. There were suicides daily. The gullible mob whose innate greed had lain behind this mass hysteria and mania for wealth called for vengeance. The Postmaster-General took poison. His son, a Secretary of State, was snatched from his accusers by opportune smallpox. Stanhope, the chief Minister, died of strain. The Directors of the Company were arrested and their estates forfeited for the benefit of the huge army of creditors. A secret committee was appointed by the House of Commons to inquire into the nature and origins of these astonishing transactions. The books of the company were mutilated and incomplete. Nevertheless it was discovered that 462 members of the Commons and 122 peers were involved. Groups of frantic bankrupts thronged the Parliamentary lobbies. The Riot Act was read. There was a general outcry against the cupidity of the German ladies. “We are ruined by Trulls—nay, what is more, by old, ugly Trulls, such as could not find entertainment in the most hospitable hundreds of Old Drury.” Walpole came to the rescue with a scheme for grafting a large section of the South Sea capital on to the Bank of England’s stock and for reconstructing the National Debt. Apart from the estates of the Directors there were few assets for the mass of creditors. The brief hour of dreamed-of riches dosed in wide-eyed misery. Bringing order to the chaos that remained was the first task of Britain’s first Prime Minister."|"The Age of Revolution"|"Winston S. Churchill"
"> 17:14"|"after 1714"|"In February 1741 an Opposition Member, Samuel Sandys, proposed an address to the King for the dismissal of Walpole. For the last time the old Minister outwitted his foes. He had made overtures to the Jacobite group in the Commons, even letting it be supposed that he would countenance a Jacobite Restoration. To the amazement of all, the Jacobites voted for him. The Opposition, in the words of Lord Chesterfield, “broke in pieces.” But under the Septennial Act elections were due. The Prince of Wales spent lavishly in buying up seats, and his campaign, managed by Thomas Pitt, brother of William, brought twenty-seven Cornish seats over to the Opposition. The electoral influence of the Scottish earls counted against Walpole, and when the Members returned to Wesminster his Government was defeated on an election petition (contested returns were in those days decided by the House on purely party lines) and resigned. It was February 1742. Sir Robert had governed England for twenty-one years. During the last days before his fall he sat for hours on end, alone and silent, brooding over the past in Downing Street. He was the first Chief Minister to reside at Number Ten. He had accomplished the work of his life, the peaceful establishment of the Protestant succession in England. He had soothed and coaxed a grumbling, irritated country into acquiescence in the new régime. He had built up a powerful organisation, fed and fattened on Government patronage. He had supervised the day-to-day administration of the country, unhampered by royal interference. The sovereign had ceased after 1714 to preside in person over the Cabinet, save on exceptional occasions—a most significant event, though it was only the result of an accident. Queen Anne had always, when in good health, presided on Sunday evenings over her Cabinet meetings at Kensington Palace. The Ministers regarded themselves as individually responsible to her and under faint obligations to each other. But George I could not speak English and had to converse with his Ministers in French or such dog-Latin as they remembered from Eton. Walpole had created for himself a dominating position in this vital executive committee, now deprived of its titular chairman. He tried to make himself supreme over his Ministers and establish in practice that rebellious colleagues were dismissed by the King. But he founded no convention of collective Ministerial responsibility. One of the charges against him after his fall was that he had sought to become “sole and Prime Minister.”"|"The Age of Revolution"|"Winston S. Churchill"
