"ap ~ 00:57"|"approximately 3 to 1"|"The French and German figures are however capable of very close comparison. Both the French and German armies fought with their whole strength from the beginning to the end of the war. Each nation made the utmost possible demand upon its population. In these circumstances it is not surprising that the official French and German figures tally with considerable exactness. The Germans mobilized 19 per cent. of their entire population, and the French, with their important African additions, 21 per cent. Making allowance for the African factor, it would appear that in the life-and-death struggle both countries put an equal strain upon their manhood. If this basis is sound—and it certainly appears reasonable—the proportion of French and German casualties to persons mobilized displays an even more remarkable concordance. The proportion of German casualties to total mobilized is 10 out of every 19, and that of the French 10 out of every 16. The ratios of deaths to woundings in Germany and France are almost exactly equal, viz. 2 to 5. Finally these figures yield a division of German losses between the western and all other fronts of approximately 3 to 1 both in deaths and casualties. All the calculations which follow are upon the basis of the tables which yield these authoritative and harmonious general proportions."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap ~ 01:55"|"about 5 to 2"|"The British War Office published in March, 1922, its Statistics of the Military Effort of the British Empire during the Great War. A section of this massive compilation records the comparative figures of British and German casualties on the British sector of the Western Front from February, 1915, to October, 1918, inclusive. The British figures are compiled from the official records of the War Office. The German figures have been obtained from the Federal Archives Office at Potsdam. The result of the calculation is summed up as follows: The total number of British ‘Officer’ casualties was 115,741 and of German ‘Officer’ casualties 47,256. The total number of British ‘Other Ranks’ casualties was 2,325,932 and of German ‘Other Ranks’ casualties 1,633,140. The casualties among British ‘Officers’ compared to German were therefore about 5 to 2, and of British ‘Other Ranks’ compared to German about 3 to 2."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap ~ 01:57"|"about 3 to 2"|"The British War Office published in March, 1922, its Statistics of the Military Effort of the British Empire during the Great War. A section of this massive compilation records the comparative figures of British and German casualties on the British sector of the Western Front from February, 1915, to October, 1918, inclusive. The British figures are compiled from the official records of the War Office. The German figures have been obtained from the Federal Archives Office at Potsdam. The result of the calculation is summed up as follows: The total number of British ‘Officer’ casualties was 115,741 and of German ‘Officer’ casualties 47,256. The total number of British ‘Other Ranks’ casualties was 2,325,932 and of German ‘Other Ranks’ casualties 1,633,140. The casualties among British ‘Officers’ compared to German were therefore about 5 to 2, and of British ‘Other Ranks’ compared to German about 3 to 2."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap 01:00"|1.00|"Dardanelles 1.00 Salonica 6.40 North Russia .08 Palestine 12.20 Mesopotamia 11.80 East Africa 8.20 France 73.00 And is there not also a virtue in ‘saving up’? We never gave ourselves the chance. We had to improvise our armies in face of the enemy. The flower of the nation, its manhood, its enterprise, its brains were all freely given. But there never was found the time to train and organize these elements before they were consumed. From the priceless metal successive half-sharpened, half-tempered weapons were made, were used and broken as soon as they were fashioned, and then replaced by others similarly unperfected. The front had to be defended, the war had to be waged, but there was surely no policy in eagerly seeking offensives with immature formations or during periods when no answer to the machine gun existed. Suppose that the British Army sacrificed upon the Somme, the finest we ever had, had been preserved, trained and developed to its full strength till the summer of 1917, till perhaps 3,000 tanks were ready, till an overwhelming artillery was prepared, till a scientific method of continuous advance had been devised, till the apparatus was complete, might not a decisive result have been achieved at one supreme stroke?"|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap 00:20"|12.20|"Dardanelles 1.00 Salonica 6.40 North Russia .08 Palestine 12.20 Mesopotamia 11.80 East Africa 8.20 France 73.00 And is there not also a virtue in ‘saving up’? We never gave ourselves the chance. We had to improvise our armies in face of the enemy. The flower of the nation, its manhood, its enterprise, its brains were all freely given. But there never was found the time to train and organize these elements before they were consumed. From the priceless metal successive half-sharpened, half-tempered weapons were made, were used and broken as soon as they were fashioned, and then replaced by others similarly unperfected. The front had to be defended, the war had to be waged, but there was surely no policy in eagerly seeking offensives with immature formations or during periods when no answer to the machine gun existed. Suppose that the British Army sacrificed upon the Somme, the finest we ever had, had been preserved, trained and developed to its full strength till the summer of 1917, till perhaps 3,000 tanks were ready, till an overwhelming artillery was prepared, till a scientific method of continuous advance had been devised, till the apparatus was complete, might not a decisive result have been achieved at one supreme stroke?"|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap 08:20"|8.20|"Dardanelles 1.00 Salonica 6.40 North Russia .08 Palestine 12.20 Mesopotamia 11.80 East Africa 8.20 France 73.00 And is there not also a virtue in ‘saving up’? We never gave ourselves the chance. We had to improvise our armies in face of the enemy. The flower of the nation, its manhood, its enterprise, its brains were all freely given. But there never was found the time to train and organize these elements before they were consumed. From the priceless metal successive half-sharpened, half-tempered weapons were made, were used and broken as soon as they were fashioned, and then replaced by others similarly unperfected. The front had to be defended, the war had to be waged, but there was surely no policy in eagerly seeking offensives with immature formations or during periods when no answer to the machine gun existed. Suppose that the British Army sacrificed upon the Somme, the finest we ever had, had been preserved, trained and developed to its full strength till the summer of 1917, till perhaps 3,000 tanks were ready, till an overwhelming artillery was prepared, till a scientific method of continuous advance had been devised, till the apparatus was complete, might not a decisive result have been achieved at one supreme stroke?"|"The World Crisis, Vol. 3"|"Winston S. Churchill"
04:00|"four o’clock in the morning"|"At four o’clock in the morning of February 21 the explosion of a fourteen-inch shell in the Archbishop’s Palace at Verdun gave signal of battle, and after a brief but most powerful bombardment three German Army Corps advanced upon the apex of the French front, their right hand on the Meuse. The troops in the forward positions attacked were, except towards the eastern flank, driven backwards towards the fortress line. The battle was continued on the 22nd and the 23rd. The brave Colonel Driant was killed in the woodlands covering the retreat of his Chasseurs. The line was reformed on the ridges near Douaumont: but the German six-inch artillery, dragged forward by tractors, hurled upon the new position so terrific a firestorm that the French Division chiefly concerned collapsed entirely. During the afternoon of the 24th, both the General commanding the Verdun area and the Commander of the Group of Armies in which it lay (Langle de Cary), telegraphed to Chantilly, advising an immediate withdrawal to the left bank of the Meuse, and the consequent abandonment of the town and fortress of Verdun."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap 11:00"|"eleven o’clock"|"General Joffre was by no means disconcerted by these unexpected and untoward events. He preserved throughout that admirable serenity for which he was noted, which no doubt would have equally distinguished him on the flaming crests of Douaumont. He assented on the 22nd to the movement of the 1st and XXth Corps, and to a request to Sir Douglas Haig to relieve in the line with British troops the Tenth French Army to reinforce Verdun. For the rest he remained in Olympian tranquillity, inspiring by his unaffected calm, regular meals and peaceful slumbers confidence in all about him. A less detached view was necessarily taken by Castelnau. The Second French Army had been relieved in the line some time before by the increasing British forces. This army was in the best order, rested and trained. Its staff had not been affected by the new French rule obliging every Staff Officer to do a spell of duty with the fighting troops. Its Commander, Pétain, had gained already in the war one of the highest reputations. On the evening of February 24, General de Castelnau presented himself to General Joffre and proposed to move the whole of the Second French Army to Verdun. The Commander-in-Chief assented to this. At eleven o’clock on the same night Castelnau, having received further reports of the most serious character, requested by telephone permission to proceed personally to Verdun with plenary powers. Pierrefeu has described the incident which followed. The Commander-in-Chief was already asleep. Following his almost invariable custom he had retired to rest at ten o’clock. The orderly officer on duty declared it impossible to disturb him. At first Castelnau submitted. But a few minutes later a further message from Verdun foreshadowing the immediate evacuation of the whole of the right bank of the Meuse arrived, and on this Castelnau would brook no further obstruction. He went in person to the villa Poiret in which the great soldier was reposing. Upon the express order of the Major-General an aide-de-camp took the responsibility of knocking at the formidable double-locked door. The supreme Chief, after perusing the telegrams, gave at once the authorization for General de Castelnau to proceed with full powers, declared there must be no retreat, and then returned to his rest."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap 10:00"|"ten o’clock"|"General Joffre was by no means disconcerted by these unexpected and untoward events. He preserved throughout that admirable serenity for which he was noted, which no doubt would have equally distinguished him on the flaming crests of Douaumont. He assented on the 22nd to the movement of the 1st and XXth Corps, and to a request to Sir Douglas Haig to relieve in the line with British troops the Tenth French Army to reinforce Verdun. For the rest he remained in Olympian tranquillity, inspiring by his unaffected calm, regular meals and peaceful slumbers confidence in all about him. A less detached view was necessarily taken by Castelnau. The Second French Army had been relieved in the line some time before by the increasing British forces. This army was in the best order, rested and trained. Its staff had not been affected by the new French rule obliging every Staff Officer to do a spell of duty with the fighting troops. Its Commander, Pétain, had gained already in the war one of the highest reputations. On the evening of February 24, General de Castelnau presented himself to General Joffre and proposed to move the whole of the Second French Army to Verdun. The Commander-in-Chief assented to this. At eleven o’clock on the same night Castelnau, having received further reports of the most serious character, requested by telephone permission to proceed personally to Verdun with plenary powers. Pierrefeu has described the incident which followed. The Commander-in-Chief was already asleep. Following his almost invariable custom he had retired to rest at ten o’clock. The orderly officer on duty declared it impossible to disturb him. At first Castelnau submitted. But a few minutes later a further message from Verdun foreshadowing the immediate evacuation of the whole of the right bank of the Meuse arrived, and on this Castelnau would brook no further obstruction. He went in person to the villa Poiret in which the great soldier was reposing. Upon the express order of the Major-General an aide-de-camp took the responsibility of knocking at the formidable double-locked door. The supreme Chief, after perusing the telegrams, gave at once the authorization for General de Castelnau to proceed with full powers, declared there must be no retreat, and then returned to his rest."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"> 00:00"|"a little after midnight"|"Castelnau started forthwith a little after midnight. At Avize, Headquarters of Langle de Cary and the centre group of armies, he quelled the pessimism that existed, and from there telephoned to Verdun announcing his impending arrival and calling upon General Herr ‘on the order of the Commander-in-Chief not to yield ground but to defend it step by step,’ and warning him that if this order was not executed, ‘the consequences would be most grave for him (Herr).’ By daylight of the 25th Castelnau reached Verdun and found himself confronted with the tragic scenes of confusion and disorder which haunt the immediate rear of a defeated battle-front. All accounts agree that the influence and authority of Castelnau on the 25th reanimated the defence and for the moment restored the situation. Wherever he went, decision and order followed him. He reiterated the command at all costs to hold the heights of the Meuse and to stop the enemy on the right bank. The XXth and 1st Army Corps now arriving on the scene were thrown into the battle with this intention. While taking these emergency measures, Castelnau had already telegraphed to Pétain ordering him to take command, not only of the Second French Army, which was now moving, but also of all the troops in the fortified region of Verdun."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
15:45|"3.45 p.m."|"‘The action on Sunday bears out all I have thought of the relative British and German strength. It is clear that at five to four they have no thought but flight, and that a battle fought out on this margin could have only one ending. The immense power of the 13·5-inch gun is clearly decisive on the minds of the enemy, as well as on the progress of the action. I should not feel the slightest anxiety at the idea of your engaging with equality. Still I think it would be bad management on our part if your superiority was not much nearer six to four than five to four, even under the worst conditions.’
And to the Prime Minister, January 24, 1915, 3.45 p.m.:—
‘This action gives us a good line for judging the results of a general battle. It may be roughly said that we should probably fight six to four at the worst, whereas to-day was five to four.’"|"The World Crisis, Vol. 3"|"Winston S. Churchill"
"ap 05:00"|"five o’clock"|"At five o’clock on May 30 the Admiralty informed the Fleet that there were indications of the Germans putting to sea. The Fleet, which had been previously ordered to raise steam, was directed to concentrate ‘eastward of the Long Forties’ (about 60 miles east of the Scottish coast) ready for eventualities."|"The World Crisis, Vol. 3"|"Winston S. Churchill"
